device_id,type,type_specific,size_inch,size_cm2,screen_body_ratio,resolution_pixel,resolution_p_width,resolution_p_lenght,resolution_ppi,resolution_ratio
11358,IPS,IPS LCD,6.5,102.0,81.6,720 x 1600,720.0,1600.0,270.0,20:9
11356,IPS,IPS LCD,6.5,102.0,81.6,720 x 1600,720.0,1600.0,270.0,20:9
11207,IPS,IPS LCD,6.67,107.4,78.6,1080 x 2400,1080.0,2400.0,395.0,20:9
11135,IPS,IPS LCD,6.52,102.6,77.3,720 x 1600,720.0,1600.0,269.0,20:9
11077,IPS,IPS LCD,6.82,114.2,84.5,720 x 1560,720.0,1560.0,252.0,5:9
11013,IPS,IPS LCD,6.67,107.4,76.8,1080 x 2400,1080.0,2400.0,395.0,20:9
10967,IPS,IPS LCD,6.82,112.3,79.9,720 x 1600,720.0,1600.0,257.0,20:9
11019,TFT,TFT LCD,5.45,76.7,72.1,720 x 1440,720.0,1440.0,295.0,18:9
10959,IPS,IPS LCD,6.5,102.0,81.3,720 x 1600,720.0,1600.0,270.0,20:9
10955,IPS,IPS LCD,5.45,76.7,72.1,720 x 1440,720.0,1440.0,295.0,18:9
10838,IPS,IPS LCD,6.67,107.4,79.8,1080 x 2400,1080.0,2400.0,395.0,20:9
10840,IPS,IPS LCD,6.67,107.4,79.8,1080 x 2400,1080.0,2400.0,395.0,20:9
10841,IPS,IPS LCD,6.52,102.6,81.9,720 x 1600,720.0,1600.0,269.0,20:9
10842,IPS,IPS LCD,6.52,102.6,81.9,720 x 1600,720.0,1600.0,269.0,20:9
10843,IPS,IPS LCD,6.52,102.6,77.5,720 x 1600,720.0,1600.0,269.0,20:9
10844,IPS,IPS LCD,6.52,102.6,77.5,720 x 1600,720.0,1600.0,269.0,20:9
10700,IPS,IPS LCD,6.52,102.6,80.4,720 x 1600,720.0,1600.0,269.0,20:9
10624,IPS,IPS LCD,6.39,100.2,81.9,720 x 1560,720.0,1560.0,269.0,5:9
