device_id,s_num
8966,Dual
8904,Dual
8790,Single
8790,Dual
8886,Single
8886,Dual
8900,Dual
8725,unspecified
8789,Dual
8505,Single
8505,Dual
8676,unspecified
8778,unspecified
8683,Single
8683,Dual
8684,Dual
8675,Dual
8561,Single
8561,Dual
8705,Single
8705,Dual
8438,Single
8438,Dual
9331,Dual
8682,Single
8682,Dual
8161,Single
8161,Dual
8523,Single
8523,Dual
8437,Dual
8577,unspecified
8397,Single
8397,Dual
8486,unspecified
8435,Dual
8335,Single
8335,Dual
8494,Single
8494,Dual
8336,Single
8336,Dual
8385,Dual
8424,Single
8424,Dual
8347,Dual
7801,Single
7801,Dual
8367,Dual
8265,Dual
8342,Dual
8314,Single
8314,Dual
8288,Dual
8242,unspecified
8082,Single
8082,Dual
8140,Dual
8192,Dual
8186,Dual
8228,Dual
8083,Dual
8455,unspecified
8004,unspecified
8126,Dual
8046,Dual
8047,Dual
7903,Single
7903,Dual
7870,Single
7870,Dual
7869,Single
7869,Dual
7880,unspecified
7821,Single
7821,Dual
7945,Single
7945,Dual
7961,unspecified
7960,unspecified
7768,Dual
7879,unspecified
7864,Single
7864,Dual
7641,Single
7641,Dual
7759,Single
7759,Dual
7789,Single
7789,Dual
7791,Single
7791,Dual
8022,unspecified
7760,Single
7760,Dual
7679,Dual
7648,Single
7648,Dual
7273,Dual
7673,Single
7673,Dual
7504,unspecified
7431,unspecified
7508,Dual
7505,unspecified
7467,unspecified
7509,Dual
6506,unspecified
7468,unspecified
7453,unspecified
7506,Dual
7249,unspecified
7395,Dual
8785,Dual
7185,Single
7185,Dual
7184,Single
7184,Dual
7114,unspecified
7134,unspecified
8883,unspecified
7121,unspecified
6990,unspecified
7166,unspecified
7164,unspecified
7079,unspecified
7377,Dual
6849,unspecified
7034,Single
7034,Dual
7357,Single
7357,Dual
6907,Single
6907,Dual
7110,unspecified
6894,Dual
7132,Dual
6763,unspecified
6905,unspecified
6879,Single
6879,Dual
6906,Single
6906,Dual
6716,Single
6716,Dual
6802,Dual
6761,unspecified
6803,Dual
6762,unspecified
6748,unspecified
6725,Dual
6790,Dual
6708,Single
6708,Dual
6706,unspecified
6631,unspecified
6749,Dual
6758,unspecified
