device_id,body_dims_mm,body_lenght_mm,body_width_mm,body_height_mm,body_dims_inch,body_lenght_inch,body_width_inch,body_height_inch,body_weight_g,body_weight_oz
10143,147.3 x 71.2 x 9.4,147.3,71.2,9.4,5.80 x 2.80 x 0.37,5.8,2.8,0.37,155.0,5.47
9993,147.6 x 71.4 x 8.7,147.6,71.4,8.7,5.81 x 2.81 x 0.34,5.81,2.81,0.34,155.0,5.47
9988,157.7 x 75.4 x 8.7,157.7,75.4,8.7,6.21 x 2.97 x 0.34,6.21,2.97,0.34,183.0,6.46
9833,159.9 x 75.2 x 8.3,159.9,75.2,8.3,6.30 x 2.96 x 0.33,6.3,2.96,0.33,180.0,6.35
9834,159.9 x 75.1 x 8.3,159.9,75.1,8.3,6.30 x 2.96 x 0.33,6.3,2.96,0.33,180.0,6.35
9731,146 x 70.6 x 9.3,146.0,70.6,9.3,5.75 x 2.78 x 0.37,5.75,2.78,0.37,153.0,5.4
9652,157.2 x 76.5 x 8,157.2,76.5,8.0,6.19 x 3.01 x 0.31,6.19,3.01,0.31,180.0,6.35
8867,155 x 75 x 8,155.0,75.0,8.0,6.10 x 2.95 x 0.31,6.1,2.95,0.31,172.0,6.07
9603,149 x 71.3 x 8.4,149.0,71.3,8.4,5.87 x 2.81 x 0.33,5.87,2.81,0.33,161.0,5.68
10619,161.2 x 76.2 x 9.1,161.2,76.2,9.1,6.35 x 3.00 x 0.36,6.35,3.0,0.36,188.6,6.67
9604,159.4 x 76.2 x 8.6,159.4,76.2,8.6,6.28 x 3.00 x 0.34,6.28,3.0,0.34,181.0,6.38
9538,145 x 70.4 x 8.6,145.0,70.4,8.6,5.71 x 2.77 x 0.34,5.71,2.77,0.34,138.4,4.87
9342,154.8 x 75.8 x 8,154.8,75.8,8.0,6.09 x 2.98 x 0.31,6.09,2.98,0.31,180.0,6.35
9364,156.9 x 76.4 x 8.2,156.9,76.4,8.2,6.18 x 3.01 x 0.32,6.18,3.01,0.32,180.0,6.35
9354,149.7 x 71.2 x 8,149.7,71.2,8.0,5.89 x 2.80 x 0.31,5.89,2.8,0.31,160.0,5.64
9178,147.2 x 71 x 8,147.2,71.0,8.0,5.80 x 2.80 x 0.31,5.8,2.8,0.31,151.0,5.33
9246,149.5 x 72 x 8.1,149.5,72.0,8.1,5.89 x 2.83 x 0.32,5.89,2.83,0.32,160.0,5.64
9214,151.1 x 70.7 x 8.3,151.1,70.7,8.3,5.95 x 2.78 x 0.33,5.95,2.78,0.33,150.0,5.29
9215,146.3 x 68.7 x 8.7,146.3,68.7,8.7,5.76 x 2.70 x 0.34,5.76,2.7,0.34,138.3,4.87
9216,153.6 x 77.6 x 9.7,153.6,77.6,9.7,6.05 x 3.06 x 0.38,6.05,3.06,0.38,174.0,6.14
9087,140.9 x 73 x 7.5,140.9,73.0,7.5,5.55 x 2.87 x 0.30,5.55,2.87,0.3,177.0,6.24
9058,158.4 x 75.6 x 8,158.4,75.6,8.0,6.24 x 2.98 x 0.31,6.24,2.98,0.31,183.0,6.46
8972,148.8 x 75.8 x 8.2,148.8,75.8,8.2,5.86 x 2.98 x 0.32,5.86,2.98,0.32,172.0,6.07
