Device_id,SIM Type,SIM Num
10208,Micro,Dual
10157,Nano,Single
10157,Nano,Dual
10124,Nano,Dual
10149,Nano,Single
10149,Nano,Dual
10138,Nano,Single
10138,Nano,Dual
10111,Nano,Single
10111,Nano,Dual
10132,Nano,Single
10132,Nano,Dual
10079,Nano,Dual
10040,Nano,Dual
10040,eSIM,Dual
10084,Nano,Dual
10084,eSIM,Dual
10041,Nano,Dual
10041,eSIM,Dual
10080,Nano,Dual
10080,eSIM,Dual
10044,Nano,Dual
10044,eSIM,Dual
10081,Nano,Dual
10081,eSIM,Dual
10001,Nano,Single
10001,Nano,Dual
10003,Nano,Single
10003,Nano,Dual
9917,Nano,Single
9917,Nano,Dual
9999,Nano,Single
9999,Nano,Dual
9995,Nano,Single
9995,Nano,Dual
9963,Nano,Single
